G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
1,Wed Oct 31 2012,7:00p EST,,Box Score,@,Phoenix Suns,W,,87,85,1,0,W 1,,False,
2,Fri Nov 2 2012,7:30p EST,,Box Score,,Memphis Grizzlies,L,,94,104,1,1,L 1,,False,
3,Sat Nov 3 2012,7:30p EST,,Box Score,@,Los Angeles Clippers,W,,114,110,2,1,W 1,,False,
4,Mon Nov 5 2012,7:00p EST,,Box Score,@,Sacramento Kings,L,,92,94,2,2,L 1,,False,
5,Wed Nov 7 2012,7:30p EST,,Box Score,,Cleveland Cavaliers,W,,106,96,3,2,W 1,,False,
6,Fri Nov 9 2012,7:30p EST,,Box Score,@,Los Angeles Lakers,L,,77,101,3,3,L 1,,False,
7,Sat Nov 10 2012,7:30p EST,,Box Score,,Denver Nuggets,L,2OT,101,107,3,4,L 2,,False,
8,Wed Nov 14 2012,7:30p EST,,Box Score,,Atlanta Hawks,W,,92,88,4,4,W 1,,False,
9,Fri Nov 16 2012,7:00p EST,,Box Score,@,Minnesota Timberwolves,W,,106,98,5,4,W 2,,False,
10,Sun Nov 18 2012,6:00p EST,,Box Score,@,Oklahoma City Thunder,L,,109,119,5,5,L 1,,False,
11,Mon Nov 19 2012,7:30p EST,,Box Score,@,Dallas Mavericks,W,OT,105,101,6,5,W 1,,False,
12,Wed Nov 21 2012,7:30p EST,,Box Score,,Brooklyn Nets,W,,102,93,7,5,W 2,,False,
13,Fri Nov 23 2012,7:00p EST,,Box Score,@,Denver Nuggets,L,,91,102,7,6,L 1,,False,
14,Sat Nov 24 2012,7:30p EST,,Box Score,,Minnesota Timberwolves,W,,96,85,8,6,W 1,,False,
15,Thu Nov 29 2012,7:30p EST,,Box Score,,Denver Nuggets,W,,106,105,9,6,W 2,,False,
16,Sat Dec 1 2012,7:30p EST,,Box Score,,Indiana Pacers,W,,103,92,10,6,W 3,,False,
17,Mon Dec 3 2012,7:30p EST,,Box Score,,Orlando Magic,L,,94,102,10,7,L 1,,False,
18,Wed Dec 5 2012,7:30p EST,,Box Score,@,Detroit Pistons,W,,104,97,11,7,W 1,,False,
19,Fri Dec 7 2012,7:30p EST,,Box Score,@,Brooklyn Nets,W,,109,102,12,7,W 2,,False,
20,Sat Dec 8 2012,7:00p EST,,Box Score,@,Washington Wizards,W,,101,97,13,7,W 3,,False,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
21,Mon Dec 10 2012,7:00p EST,,Box Score,@,Charlotte Bobcats,W,,104,96,14,7,W 4,,False,
22,Wed Dec 12 2012,7:30p EST,,Box Score,@,Miami Heat,W,,97,95,15,7,W 5,,False,
23,Fri Dec 14 2012,7:00p EST,,Box Score,@,Orlando Magic,L,,85,99,15,8,L 1,,False,
24,Sat Dec 15 2012,7:00p EST,,Box Score,@,Atlanta Hawks,W,,115,93,16,8,W 1,,False,
25,Tue Dec 18 2012,7:30p EST,,Box Score,,New Orleans Hornets,W,,103,96,17,8,W 2,,False,
26,Wed Dec 19 2012,7:00p EST,,Box Score,@,Sacramento Kings,L,,127,131,17,9,L 1,,False,
27,Fri Dec 21 2012,7:30p EST,,Box Score,,Charlotte Bobcats,W,,115,100,18,9,W 1,,False,
28,Sat Dec 22 2012,7:30p EST,,Box Score,,Los Angeles Lakers,L,OT,115,118,18,10,L 1,,False,
29,Wed Dec 26 2012,7:00p EST,,Box Score,@,Utah Jazz,W,,94,83,19,10,W 1,,False,
30,Fri Dec 28 2012,7:30p EST,,Box Score,,Philadelphia 76ers,W,,96,89,20,10,W 2,,False,
31,Sat Dec 29 2012,7:30p EST,,Box Score,,Boston Celtics,W,,101,83,21,10,W 3,,False,
32,Wed Jan 2 2013,7:30p EST,,Box Score,,Los Angeles Clippers,W,,115,94,22,10,W 4,,False,
33,Sat Jan 5 2013,7:30p EST,,Box Score,@,Los Angeles Clippers,L,,89,115,22,11,L 1,,False,
34,Wed Jan 9 2013,7:30p EST,,Box Score,,Memphis Grizzlies,L,,87,94,22,12,L 2,,False,
35,Fri Jan 11 2013,7:30p EST,,Box Score,,Portland Trail Blazers,W,,103,97,23,12,W 1,,False,
36,Sun Jan 13 2013,6:00p EST,,Box Score,@,Denver Nuggets,L,,105,116,23,13,L 1,,False,
37,Wed Jan 16 2013,7:30p EST,,Box Score,,Miami Heat,L,,75,92,23,14,L 2,,False,
38,Fri Jan 18 2013,7:30p EST,,Box Score,@,San Antonio Spurs,L,,88,95,23,15,L 3,,False,
39,Sat Jan 19 2013,7:00p EST,,Box Score,@,New Orleans Hornets,W,,116,112,24,15,W 1,,False,
40,Mon Jan 21 2013,1:00p EST,,Box Score,,Los Angeles Clippers,W,,106,99,25,15,W 2,,False,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
41,Wed Jan 23 2013,7:30p EST,,Box Score,,Oklahoma City Thunder,W,,104,99,26,15,W 3,,False,
42,Fri Jan 25 2013,7:00p EST,,Box Score,@,Chicago Bulls,L,,87,103,26,16,L 1,,False,
43,Sat Jan 26 2013,7:30p EST,,Box Score,@,Milwaukee Bucks,L,,102,109,26,17,L 2,,False,
44,Mon Jan 28 2013,7:00p EST,,Box Score,@,Toronto Raptors,W,,114,102,27,17,W 1,,False,
45,Tue Jan 29 2013,7:00p EST,,Box Score,@,Cleveland Cavaliers,W,,108,95,28,17,W 2,,False,
46,Thu Jan 31 2013,7:30p EST,,Box Score,,Dallas Mavericks,W,,100,97,29,17,W 3,,False,
47,Sat Feb 2 2013,7:30p EST,,Box Score,,Phoenix Suns,W,,113,93,30,17,W 4,,False,
48,Tue Feb 5 2013,7:00p EST,,Box Score,@,Houston Rockets,L,,109,140,30,18,L 1,,False,
49,Wed Feb 6 2013,7:00p EST,,Box Score,@,Oklahoma City Thunder,L,,98,119,30,19,L 2,,False,
50,Fri Feb 8 2013,7:00p EST,,Box Score,@,Memphis Grizzlies,L,,93,99,30,20,L 3,,False,
51,Sat Feb 9 2013,7:30p EST,,Box Score,@,Dallas Mavericks,L,,91,116,30,21,L 4,,False,
